Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
2,816.8409026,500351.27332675434,76794.88451,8336.606067,56.43854353,1,319204795.4,1,7193881.827,28433.00898,15.44729157,3736
2,666.1452274,246275.45122191042,289131.3488,2316.998028,59.15681084,4,149864828.5,1,9097246.935,5898.942683,78.38074616,4760
3,663.1500015,407747.7056362655,334814.9657,3691.504781,65.2002528,1,27865024.5,1,5598280.703,29611.95314,44.70389447,737
5,438.3331109,233868.4202236697,53052.37919,9273.207049,68.61771967,1,139684923.9,3,1932688.213,264.1769476,91.54844912,816
6,962.3865286,349470.1181720609,131116.4567,4528.178684,91.72812932,2,60500670.81,1,14046100.2,4318.584492,58.63917899,4186
3,859.8087217,364925.1757168708,347957.1592,3911.50245,73.56111259,4,259093494.7,1,13518819.54,18600.03347,14.88341844,2568
4,917.6469956,557101.407028962,75735.23927,3717.523188,53.84815921,1,454362000.0,1,10812259.69,12441.00777,56.54690258,1599
2,799.8160033,282861.2634920172,235432.9733,217.0684056,77.48588055,4,132337438.4,3,8403971.306,49481.81622,48.56926153,1486
4,656.2554567,409803.7180218757,393590.1393,1817.314424,95.88165005,1,256199621.7,2,1185014.932,36881.43447,27.98936501,2532
5,196.7352175,100146.05648387538,209369.9178,7632.017761,74.01291399,2,498911353.2,3,806908.524,34702.7749,70.25424278,1238
5,127.463168,101430.1219776234,332545.0032,2704.165962,84.97832253,2,264672003.8,2,10786166.7,7480.396631,35.4786659,4185
2,709.3905323,449929.7756439431,157431.9015,7415.992685,54.9265102,3,182527613.8,3,5357895.243,45177.38777,13.83395009,4816
7,321.6032081,134346.45833372447,69710.20177,8906.987637,80.63951934,1,263322241.2,2,5906716.057,35074.25815,14.57586648,4728
4,932.3998293,442070.87647616526,272728.0188,1512.164075,55.12834755,1,225973384.9,1,8310857.525,42627.83221,53.26552293,1154
2,387.6745165,269933.9462454712,86831.71897,4458.610121,98.22398517,1,53385813.67,3,12902694.8,5420.392103,33.06904271,4817
2,926.0127333,610972.150564311,440448.8368,5467.566733,66.25013756,1,325421503.8,2,3805455.52,34990.04006,37.26963214,848
2,971.5373093,639414.2165658915,326732.9314,5203.214405,92.62542376,1,295097159.5,3,18310642.29,31437.29876,64.20313611,2372
5,304.9154547,120732.77296411787,339678.812,4338.60525,75.31568741,4,377419265.5,2,11149648.22,25681.48096,67.40973365,3974
2,933.1226373,398610.9537728557,156450.1494,1268.975132,64.52765042,3,271043310.5,1,14118502.43,26325.88814,82.95593683,128
7,120.4949114,56630.99419881636,269590.3712,1274.162887,66.6341788,4,42724610.86,2,10342756.65,29405.56156,30.51404962,947
6,758.4305201,208839.70661663837,420905.946,1509.672659,74.22692358,4,214331576.0,1,6007441.131,22403.48856,98.29453513,4029
4,939.2357543,587586.4988420344,191184.951,789.5791528,71.64484501,1,42881386.4,1,9638901.863,34910.79263,99.08869621,1933
6,960.131942,389785.7380814756,449121.7791,2991.419395,95.8279927,3,412016427.6,3,8358812.095,23358.12019,61.64314678,3774
5,211.6887362,129215.46650710999,322712.0108,4981.420733,94.71361533,1,254913385.8,3,6284861.16,2752.991139,78.62553501,2185
2,488.9306063,238094.37406040274,375083.976,560.8850878,80.32966882,2,231264906.4,1,11705461.22,9761.461024,81.63554755,833
6,975.3741927,370886.0693890701,152833.6532,252.5663889,82.37288376,2,230577435.2,3,19580273.39,22252.65955,23.14516785,1363
5,99.99698635,69483.16637938889,105752.1344,9545.420073,95.59056015,2,265854332.2,1,18347478.04,33616.60036,6.895529143,469
7,904.4023156,419681.78881809383,73641.27762,1988.018863,99.99130397,2,398045284.0,2,13345005.36,12809.65792,81.38028916,2548
6,723.0649609,243704.5672663332,112010.0724,9337.177029,54.82292922,3,70358031.41,3,2214133.645,23438.04528,79.67950861,2398
3,600.3224253,407492.9301052096,126179.9839,3674.656558,73.88283743,3,246358554.5,2,19164967.19,40817.75008,30.11143978,1979
6,571.9126529,191451.48757653148,425799.9722,9885.320655,65.87978892,3,17491027.41,2,4743610.019,14915.69142,45.05357429,3183
4,831.87626,304331.39168907324,335891.1095,9201.086691,80.36383656,3,433519494.0,2,14772353.51,13767.9051,87.04843371,4727
3,149.2328012,125668.86959599415,263841.7956,1342.943335,89.54724323,2,1552573.362,2,16372187.09,48065.22965,91.14755151,4247
1,724.6318261,465122.04776094935,313749.5099,1802.349283,53.05101815,2,221585140.1,1,7775664.031,39349.83239,90.02526229,2767
6,527.6438129,203736.82333362885,198927.0864,908.7597958,90.95815257,3,4264453.08,1,18327255.9,17599.39758,40.05317524,770
5,681.2515125,401568.7657234591,150254.7575,7967.154949,74.07039723,1,217177549.0,3,3984690.479,23870.57937,7.117794437,4378
3,25.71821823,44888.39805995216,244438.8387,607.1647404,90.69321263,4,316365757.7,1,10290950.11,40791.59035,3.291792988,3824
1,242.7278888,161019.8857109083,59995.97339,9011.902596,64.45261242,2,70742698.84,1,15188327.48,33060.47566,17.78562013,2386
2,277.6013534,171377.63570530814,393127.7572,2577.218317,78.8619524,3,389529236.9,3,350262.3724,39606.77877,20.57495805,4991
1,637.0295271,273466.68188361375,179967.1275,9086.675724,74.45931214,4,463207037.2,2,16581803.74,6927.782492,60.03359122,3337
2,351.7263045,177568.57253895683,83533.31123,3668.374197,84.76822069,2,325976197.5,2,18447356.65,6446.177544,93.59143969,2375
6,458.6227813,187381.38940255757,178601.0026,2248.954033,90.60846795,1,145744262.1,2,7374689.931,24414.4143,39.55174879,859
6,678.6538046,288885.46361549007,25671.71062,1776.352115,86.35438985,1,129047624.2,1,6592405.167,16889.85167,14.78880654,4668
7,200.6902031,83794.16062915779,174931.2231,4284.963429,52.07735517,3,390855887.0,1,4739805.403,36280.68819,3.542210489,4788
7,373.9079272,179947.1045863402,242116.5633,6694.961929,86.78657987,2,338757766.8,3,17190290.94,49211.39959,23.98279076,1388
3,31.54975854,52102.97488840087,440430.1952,8015.163196,76.32196574,4,220380328.6,3,1735250.815,44830.82979,96.74487075,1699
5,3.935225092,34382.97072663723,261971.399,2482.874464,83.47770369,2,104990469.1,3,16340543.71,11009.1994,36.17243215,295
4,506.8794349,225377.81800689397,134504.1392,458.4773945,86.13587887,3,445355000.1,3,19862463.12,23275.70552,9.494819982,4986
5,406.6748956,167491.0639381386,405519.3525,5446.886731,87.7696965,4,292179300.4,2,16440573.43,46212.45737,10.80169605,2202
3,954.4489912,449464.57793333987,259482.9179,1793.03415,94.31516134,4,355287017.2,2,8498279.56,49368.33598,34.23385919,3751
3,650.2852014,402456.60198023083,402367.5237,8506.829234,75.66201762,1,88834468.58,3,12744257.61,18398.64702,24.28592027,3396
4,437.8625706,180651.57397428004,13247.90455,1901.69618,71.48904205,4,277320278.4,1,1753104.032,15236.38297,49.90724393,4346
6,258.6302291,120724.2972920945,156298.5756,6568.853789,81.56811825,2,42634539.29,2,18327558.31,5236.217513,8.277841151,3593
6,143.3757968,96694.21264673237,212059.8316,7322.2969,79.6189445,3,222193237.3,3,17199367.42,27512.53887,68.66294775,2504
7,869.6942564,259888.92565436417,109221.3579,8317.88068,91.08242309,4,113806699.3,3,11365011.4,19729.48306,31.61505341,2599
6,302.8703579,113858.08736678853,96482.89587,2102.584151,59.62281916,4,337273888.3,1,19203003.97,9780.970195,92.43025584,4555
6,24.19843556,42954.53304004026,340489.6929,6217.270072,65.01304468,3,283802755.1,3,8905773.333,41902.33283,48.5347995,3958
6,693.9046077,364903.7253364152,20061.51441,9778.931169,63.9602216,1,340455844.1,2,18194574.11,48266.68355,49.80916735,3071
1,523.3252512,248477.75716769812,257574.5646,4184.542336,96.51847065,4,110779587.1,2,15101537.34,34874.45614,40.53712063,3667
2,99.8131059,85517.05430587358,400507.3456,9508.819584,65.23934912,2,382076388.8,2,9730621.832,28689.28767,65.71286545,2188
2,115.6132388,92502.89540663772,345604.0208,3417.88381,58.23890487,3,419974409.3,3,1943258.763,9371.869727,60.07775096,2570
1,3.814259882,34816.76039633612,187456.9313,260.1174127,68.77636007,1,292235215.6,2,17431014.2,25375.65791,57.57996879,985
7,942.2237997,332044.7843836503,60342.37295,7660.011778,55.32741395,2,296955528.5,2,3799462.211,41436.24253,54.13526581,242
4,947.2472534,472909.0546636388,6212.255721,2422.237334,91.32017521,2,351913820.2,3,2546276.512,4733.810359,97.0836319,551
4,198.6959299,110152.56365043015,442512.5836,8409.077301,85.9924893,3,243069419.2,3,16774353.45,2687.171714,74.95493078,2147
6,881.3317744,249208.13082644137,232079.3692,1046.781723,65.20941417,3,32068168.04,2,11500174.86,41748.56118,17.81763369,2874
6,70.04487612,53352.998959977995,200616.8951,8079.387318,69.88532418,3,371307007.8,2,12636072.05,6853.236011,94.15203683,3591
5,709.094964,314426.2882490505,337018.1076,3658.447413,70.72750052,3,293426648.7,2,1677832.671,27659.90205,86.83913163,4266
3,691.4871144,464449.2454017162,174649.533,1725.388107,55.08414523,1,447908631.5,2,6736675.551,30298.76044,91.55543375,4229
1,577.3377444,275404.3840825826,220351.5989,2365.965835,76.47519828,4,450623002.0,3,7840516.495,2560.643804,91.83429561,605
6,337.47713,123180.70675602878,120988.4638,2726.57836,77.14534142,4,342318569.9,1,1861727.785,44576.09545,67.00981103,1730
1,547.8417223,232490.41028436838,3438.753337,2148.557641,60.68253567,4,211411931.4,1,1311498.733,28095.44822,37.56073639,3105
4,382.5498521,223956.14014617537,338662.3548,1905.433749,84.34929703,2,183538136.4,3,9107501.479,15009.85159,70.75439336,2271
2,30.45089812,48239.89294548286,244523.6156,7418.320081,76.1897347,3,258738829.7,3,17434435.53,26401.57619,83.39505373,4913
4,620.8903474,277688.0875502593,78146.22961,4986.479166,82.70898682,2,218550920.8,3,11217802.29,23970.80333,83.67925694,1030
7,136.5444317,84356.24353544481,249012.1169,3317.360836,78.13092901,3,299850287.9,2,16920043.22,43879.25002,51.25755203,982
4,570.5766495,272847.84755783115,286693.0921,5932.297407,80.30676832,1,331590238.0,2,4482893.6,20096.33718,10.72978194,942
6,72.11642431,51073.542125872424,213031.7629,5493.970062,93.01539427,4,389638870.9,1,5356881.526,47653.31859,59.25388603,2770
5,786.4986745,367785.8621490767,429922.5999,5481.556448,50.01344343,1,116945722.7,2,9376096.351,3373.463768,56.61843953,1280
3,878.9833317,581589.9253608948,441762.8293,793.9536947,85.75842906,1,311765142.0,2,19429544.72,37220.69245,25.50296361,4964
5,187.8843832,103666.3369450839,278678.4713,8350.773048,57.30184306,4,230706882.9,1,3377788.08,1897.905817,16.97815391,2819
7,578.9731323,227571.67565874234,805.2692276,2271.550155,84.69971861,4,34172350.17,3,19012377.4,32533.52991,24.30982745,3873
1,781.8835433,520925.58022976574,429689.7253,603.6508254,97.24413472,1,324987070.1,3,7901595.556,48149.12792,9.255765306,3848
6,307.3842935,147568.99694358447,69738.06976,6868.553319,95.04169916,3,327019094.5,3,2826590.754,12768.08114,99.58889504,2175
5,449.4302361,224378.3385131007,269810.2665,8881.739821,97.95668975,1,176897631.5,2,17000868.68,37845.48698,84.41258448,488
7,939.8881007,275541.4499601286,5813.563146,9539.418335,68.78207444,4,163088239.5,3,2090193.022,38564.04323,25.41819726,4683
4,307.1134413,203297.3580674902,302605.3122,6424.227805,57.10102922,1,499930442.7,3,17293341.25,49411.90056,91.20724751,1288
3,773.3657449,515603.97582248994,445309.4312,3854.327595,87.54614827,2,259745185.1,2,18323915.61,39263.72356,61.56033972,334
1,576.163917,392399.5904644773,443123.2694,4453.077251,61.36945653,1,450715587.2,3,14176685.18,37413.62665,63.5987719,770
1,914.9277748,594903.5404173175,357990.8412,1488.554476,65.54699615,1,52517600.89,3,3865900.147,36539.46043,87.89420225,3707
6,646.2159856,279612.10385210195,340496.5017,2913.213483,94.39081094,1,335017498.6,3,19403217.77,21413.37783,98.62266241,3184
6,426.6405431,209374.46525844763,301533.843,6207.328519,99.49081976,3,81054575.9,3,8515215.129,23355.24162,33.23697377,580
4,685.4057957,317254.47283862584,56350.77663,4101.853186,79.13274906,3,28435179.43,3,16574028.48,42488.83582,88.95905571,3764
5,645.4765304,307608.1257588568,250258.7091,6176.098125,73.40910913,2,291619713.9,1,13425764.27,25591.18533,6.500700975,3754
1,674.2028994,287728.58958708687,192016.4607,7253.197582,63.76727271,4,263561619.7,1,7950537.295,1101.231673,74.93476491,921
5,713.7951116,440399.9796045479,175109.0387,9675.093031,56.42864392,1,239868182.9,3,18235073.8,41965.21559,50.97360679,2470
4,390.943596,222796.51317703509,233262.5787,6604.467947,89.07747526,1,163636800.1,2,11871437.26,45000.23113,65.87208167,1836
1,277.4980723,143806.0514819207,358998.1563,8588.968204,91.77369263,4,188919755.5,2,8167152.052,3611.671347,7.735264483,2553
6,315.2037978,161330.79452697915,342587.3506,9736.257593,84.34900925,3,451074018.4,3,17170708.84,5844.665447,64.57407746,4013
3,393.8793625,230858.55768540397,240950.6856,4216.377785,91.91365711,3,412992742.2,3,1525117.517,503.2584192,96.26076868,2041
7,385.8996148,175193.94527389875,187825.3224,7141.738061,51.45932638,1,84666488.79,2,15116196.82,6495.979593,74.15524336,2229
3,966.2971629,636140.3675185825,299361.0509,3795.353232,97.19375161,2,280686668.9,3,16871475.97,39266.08033,26.78387561,1170
2,301.9631048,195798.25865083002,360391.6766,2008.160143,95.42538688,3,422831938.2,1,16341942.37,20542.77917,29.12492508,3758
1,393.6980806,202862.19933857705,267069.0821,4114.875697,72.95836925,4,255057609.6,1,8267420.5,41444.3218,26.82121291,1547
1,208.2593983,162546.49741985142,152375.798,8853.068909,96.72857669,1,9408360.027,1,17877046.24,45058.78937,28.03523715,319
2,722.3713425,364892.8574306819,351253.533,1281.017242,79.76171894,2,459126172.4,1,2808657.384,13415.26432,48.45808109,2768
4,479.8378074,261526.25556218746,397942.0856,4580.17467,94.62533488,2,209843209.3,1,16286002.5,44720.69593,73.14742717,2382
3,534.1869266,294176.828407946,34684.56288,4213.296366,72.24066022,2,10227819.36,1,3944830.693,21582.34586,4.748212671,4809
3,437.0291943,231426.01167926568,5739.784795,2167.408511,83.62146379,3,70100442.05,3,5773329.525,18644.9235,64.12052009,4760
6,454.4803801,188161.73215062424,318670.3178,4555.833624,80.39717515,2,248071132.1,3,11229445.62,27265.12985,67.7540207,1029
5,500.765668,275597.5085069214,411586.1527,1839.146918,56.10692493,1,8426925.495,1,2104623.654,43027.11347,19.71932926,2767
7,927.430061,376087.76085258805,61535.31603,9008.002987,74.08228141,1,450932642.7,2,2554020.998,42471.4271,15.46906048,682
4,298.1526218,146867.8952612824,37589.31782,8558.88566,82.80830697,1,339797591.1,2,11123377.86,3576.363168,10.96606871,675
7,234.3402015,123147.13983338831,249289.6974,2204.520391,78.36561202,2,161571643.3,3,3621265.339,21440.82676,51.96682604,3121
4,304.5871202,165431.3080602183,192836.8584,4728.74245,72.17929199,1,141515558.4,1,7571808.935,10666.3368,90.50806769,3895
5,889.861526,425182.96907948866,116145.0869,2807.590344,88.33838106,3,319557050.0,1,1387515.209,46870.39489,6.238179531,2885
2,460.5441872,264792.8290444909,295996.907,2501.773475,84.45304212,2,72017041.66,1,3172668.064,41952.60653,37.96381951,1256
6,67.73421849,54308.127158922056,120389.0174,6726.605113,72.18835954,3,147474604.3,1,680646.0777,27274.89746,17.28019929,3142
5,380.2640868,138620.17713699123,302732.6765,326.804124,55.43020306,4,349816556.3,1,15561505.51,5547.125673,59.28663162,1654
6,150.6760638,83548.6300852223,331317.477,508.0959661,92.6953058,4,277804072.0,1,14578409.34,24839.94018,34.76367666,2868
7,774.4803759,199366.7759011059,306200.6692,5841.191166,53.98225663,3,66920045.38,2,18056518.46,23007.72819,14.48601742,2266
4,701.1789403,338148.91675033804,441649.5461,1380.721031,58.25511,1,65739320.57,3,11762727.17,5391.661191,44.35160677,331
4,349.6387383,166633.95157802093,60853.99637,7294.554512,83.41255692,1,51645969.55,2,8032059.921,4784.694881,87.57756677,3901
4,649.585195,300799.7255540218,89888.44467,4743.282705,62.58831979,4,103806876.7,1,18992804.56,45059.94133,85.48387572,788
3,754.196097,448017.9545817912,24543.89014,2637.348076,87.02102147,4,106602196.3,3,13601343.54,30320.45506,49.78162345,218
1,327.9759746,174969.06126038858,148205.341,3411.167259,68.49967838,2,212163839.6,2,18403483.66,39311.44609,55.28412425,3463
7,73.72940753,55206.94033859391,428207.3435,1978.896841,87.74993537,4,62409092.15,3,17967713.98,23284.76974,84.16403375,1320
6,837.6686007,351255.36627989647,376252.1346,6453.744147,87.59785068,2,117130265.4,2,1169015.834,48647.31268,54.35661242,554
5,716.6539617,329654.59230523265,296886.0395,7843.444404,78.81309989,2,331664800.7,2,4333885.06,46938.33554,99.12513114,2689
2,994.0553902,464188.9492578838,210569.3413,8389.458703,71.68170411,3,366718549.8,2,12170470.44,25032.24446,26.33865666,2771
4,103.0996037,71920.19420435111,431239.9358,3599.537825,68.65051088,3,459996214.6,1,4349238.925,5797.855892,87.80658463,3668
3,846.2873144,417148.3140072365,244930.6659,6488.665903,91.33617181,4,10074618.17,1,10546402.97,46123.29555,77.21559408,4988
7,726.0009168,266327.0606510459,177561.7254,9423.480483,67.12623399,2,158705439.3,2,5262444.26,33599.36693,77.6060789,4007
1,979.3677506,558165.0776463323,229080.723,6981.949885,57.37285346,3,395653962.3,1,13479753.76,49417.85712,53.88787508,2909
4,284.4562754,127253.14205391631,249987.0962,7636.542811,54.02994116,4,339243768.3,3,1342607.288,43036.35998,44.87724428,922
5,361.0295231,188086.04934195877,136578.868,1812.021381,89.22221365,1,304871742.0,1,16028329.07,20311.55675,49.85815663,71
5,230.4083199,97208.12076418375,92441.40877,1723.893797,70.50890167,4,285335871.8,1,3474253.305,33118.81359,10.75704891,581
4,201.9224682,158587.4186103837,79195.83616,4412.617068,53.52788771,1,498683035.8,3,802687.1603,42448.01111,20.94816195,1959
1,490.2090126,295829.47647211177,121383.4713,7241.936665,79.65357894,4,336831072.3,2,17895440.25,16224.45164,79.59363665,274
3,594.2304857,403686.91227034084,416674.5292,6432.083617,50.4159042,2,68987313.02,3,18026335.36,25965.45721,78.19784011,906
5,386.2627262,203336.8568858523,27300.07422,398.0976611,52.40536653,2,421623370.3,2,7382688.637,5683.400646,59.09198378,194
4,90.25872716,74176.45225581527,294797.6336,1607.258017,59.08523061,3,450665182.8,3,6659072.459,28768.63881,84.89208569,1811
5,456.8059093,150951.0667252692,72384.78684,1306.412361,75.24432166,4,34743280.72,1,8287472.345,11555.37874,19.12702042,4494
5,15.0035068,37934.87099607536,435898.211,4475.540276,64.48642314,2,265628344.4,2,10254612.33,20822.93066,64.17901301,3125
1,889.3167819,588045.8816472848,386069.2665,2475.920289,95.75037461,1,430499212.2,3,10472231.63,47358.68596,96.22785553,2374
4,897.9185149,383527.5864646387,368688.9703,6633.811927,86.77371331,3,88304634.23,2,5027139.158,7821.664399,58.54917374,2028
5,200.7544736,83794.60742796565,173641.8407,2195.599419,59.4312308,4,187052946.0,3,14092321.48,49433.67816,20.89717907,388
7,550.1252947,172864.28732288844,14565.87464,8360.393979,85.98843402,4,267602002.2,1,6619372.861,11800.46997,38.84268905,611
6,604.9470503,291984.22427315917,257916.5412,9793.471676,91.87507524,2,242110771.3,2,19206871.48,2067.943606,17.20046104,913
6,440.0342595,128305.29111564171,289640.9893,8716.004536,97.89036619,4,477289804.4,2,8501134.829,43807.04013,76.18351861,4330
2,310.8796886,145236.2341945118,147854.301,6347.596151,90.54538025,3,63223145.86,1,3358714.195,42364.08555,17.3961007,1021
7,755.8214321,306981.6041524141,60216.00393,1651.326128,60.1467685,3,462162848.4,3,1975223.664,11858.71267,30.9769959,4617
